,location,new_cases_per_million,new_deaths_per_million
736,Iran,0.0,0.0
737,Iran,62.803000000000004,3.4760000000000004
738,Iran,29.561999999999998,1.798
739,Iran,27.074,1.619
740,Iran,24.871,1.5830000000000002
741,Iran,23.776,1.4409999999999998
742,Iran,19.454,1.393
743,Iran,23.478,1.453
744,Iran,21.871,1.4880000000000002
745,Iran,19.727999999999998,1.393
746,Iran,19.252,1.3219999999999998
747,Iran,18.74,1.167
748,Iran,18.002,1.119
749,Iran,19.121,1.095
750,Iran,17.847,1.06
751,Iran,16.359,0.8690000000000001
752,Iran,15.989,1.036
753,Iran,15.405999999999999,1.083
754,Iran,15.442,1.048
755,Iran,14.215,1.119
756,Iran,12.263,1.072
757,Iran,13.905999999999999,1.107
758,Iran,13.501,0.905
759,Iran,13.727,0.7140000000000001
760,Iran,11.799000000000001,1.143
761,Iran,13.239,0.845
762,Iran,12.775,0.9520000000000001
763,Iran,11.703,0.845
764,Iran,11.977,0.75
765,Iran,9.548,0.774
766,Iran,11.62,0.56
767,Iran,14.561,0.8809999999999999
768,Iran,15.751,0.75
769,Iran,20.002,0.929
770,Iran,17.68,0.81
771,Iran,18.525,0.655
772,Iran,18.204,0.5710000000000001
773,Iran,16.465999999999998,0.607
774,Iran,20.037,0.536
775,Iran,17.632,0.5710000000000001
776,Iran,23.311,0.595
777,Iran,21.526,0.845
778,Iran,25.026,0.5710000000000001
779,Iran,20.918000000000003,0.41700000000000004
780,Iran,21.502,0.607
781,Iran,27.311999999999998,0.821
782,Iran,25.133000000000003,0.738
783,Iran,27.930999999999997,0.762
784,Iran,28.479,0.7859999999999999
785,Iran,27.514,0.607
786,Iran,22.252,0.7020000000000001
787,Iran,25.955,0.691
788,Iran,24.085,0.405
789,Iran,21.276,0.679
790,Iran,24.764,0.667
791,Iran,26.883000000000003,0.75
792,Iran,33.562,0.595
793,Iran,27.169,0.679
794,Iran,29.955,0.75
795,Iran,35.467,0.9640000000000001
796,Iran,37.11,0.762
797,Iran,37.313,0.833
798,Iran,42.551,0.7020000000000001
799,Iran,34.36,0.75
800,Israel,1.617,0.0
801,Israel,2.5995,0.0
802,Israel,3.582,0.0
803,Israel,1.386,0.0
804,Israel,1.617,0.0
805,Israel,2.311,0.0
806,Israel,7.162999999999999,0.0
807,Israel,8.318,0.0
808,Israel,1.155,0.0
809,Israel,19.294,0.0
810,Israel,0.693,0.0
811,Israel,28.19,0.0
812,Israel,4.044,0.11599999999999999
813,Israel,19.756,0.0
814,Israel,21.72,0.0
815,Israel,42.863,0.0
816,Israel,56.38,0.231
817,Israel,50.718999999999994,0.231
818,Israel,34.313,0.34700000000000003
819,Israel,42.632,0.231
820,Israel,67.471,0.231
821,Israel,72.555,0.34700000000000003
822,Israel,26.11,0.231
823,Israel,51.181000000000004,0.34700000000000003
824,Israel,77.985,0.11599999999999999
825,Israel,76.367,1.5019999999999998
826,Israel,135.86700000000002,0.578
827,Israel,68.164,0.809
828,Israel,47.6,0.34700000000000003
829,Israel,54.763000000000005,0.924
830,Israel,39.743,0.924
831,Israel,18.023,0.693
832,Israel,65.161,1.733
833,Israel,50.833999999999996,1.04
834,Israel,38.704,0.693
835,Israel,46.443999999999996,0.231
836,Israel,50.95,1.5019999999999998
837,Israel,53.145,0.809
838,Israel,52.567,0.809
839,Israel,29.691999999999997,1.386
840,Israel,25.879,1.04
841,Israel,32.696,1.5019999999999998
842,Israel,26.11,0.924
843,Israel,25.648000000000003,0.578
844,Israel,26.456999999999997,0.809
845,Israel,75.096,0.809
846,Israel,33.505,0.231
847,Israel,20.334,0.11599999999999999
848,Israel,27.728,0.578
849,Israel,11.552999999999999,0.0
850,Israel,7.856,0.34700000000000003
851,Israel,14.210999999999999,0.693
852,Israel,28.305999999999997,0.809
853,Israel,12.94,0.809
854,Israel,17.908,0.34700000000000003
855,Israel,9.705,0.462
856,Israel,2.657,0.34700000000000003
857,Israel,4.39,0.34700000000000003
858,Israel,4.968,0.34700000000000003
859,Israel,2.426,0.11599999999999999
860,Israel,8.203,0.11599999999999999
861,Israel,6.354,0.578
862,Israel,2.08,0.231
863,Israel,2.657,0.578
864,Israel,3.35,0.693
865,Israel,2.657,0.231
866,Israel,2.195,0.462
